opening,games,score,white_win_percent,black_win_percent,avg_cp_loss/game,inaccuracies/game,mistakes/game,blunders/game,familiarity,sharpness,best
"A00--Uncommon Opening (1 g4, a3, h3, etc.)",17.0,0.5882352941176471,,0.5882352941176471,1.4769164632268923,2.5294117647058822,2.8823529411764706,2.4705882352941178,1.8902210595384068,0.3982860972599769,0.7528487687621704
B02--Alekhine's Defense (1 e4 Nf6),3.0,0.6666666666666666,0.6666666666666666,,1.1863276353276355,3.333333333333333,2.333333333333333,1.3333333333333333,1.2306975404728813,0.5619583046150224,0.6916007033380183
D37--Queen's Gambit Declined (1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3),3.0,0.6666666666666666,,0.6666666666666666,1.2161407407407407,2.333333333333333,4.0,2.0,1.1710972257769467,0.5481821670250153,0.6419746150233903
D35--Queen's Gambit Declined (1 d4 d5 2 c4 e6 3 Nc3 Nf6),3.0,0.5,,0.5,1.1484589947089947,2.333333333333333,3.6666666666666665,2.0,1.3131962696745065,0.43536600114024426,0.5717210086404757
C20--King's Pawn Game (1 e4 e5),19.0,0.3684210526315789,0.25,0.4,1.5863291411020612,2.0526315789473686,4.421052631578949,2.631578947368421,1.732168736097407,0.23224754755222357,0.40229194090525755
A43--Old Benoni (1 d4 c5),3.0,0.5,,0.5,1.3070277777777781,2.333333333333333,5.666666666666668,1.6666666666666667,1.0138903561958739,0.3825473402333538,0.38786105905097923
C42--Petrov Defense (1 e4 e5 2 Nf3 Nf6),15.0,0.43333333333333335,0.5,0.0,1.6483464362281417,1.4666666666666666,4.8,3.2,1.4254390185211574,0.26288972015186085,0.3747332646725703
C10--French (1 e4 e6 2 d4 d5 3 Nc3),4.0,0.25,0.3333333333333333,0.0,1.1014667775761242,2.0,4.5,2.5,1.648493316284135,0.22697007761790808,0.37415865594961284
"C02--French, Advance (1 e4 e6 2 d4 d5 3 e5)",4.0,0.75,1.0,0.6666666666666666,1.751644882555225,2.25,5.25,2.0,0.6518352857641662,0.42816897846664664,0.27909564843415774
D00--Queen's Pawn Game (1 d4 d5),16.0,0.375,,0.375,1.8241957512959983,2.3125,3.4375,2.5,1.2020349951051315,0.20557004352936442,0.24710238626758121
C25--Vienna (1 e4 e5 2 Nc3),8.0,0.4375,0.0,0.6,2.151781942016317,1.75,3.5,3.875,0.6108695485876714,0.20331985851226295,0.12420191018829528
D02--Queen's Pawn Game (1 d4 d5 2 Nf3),5.0,0.8,,0.8,2.7012334038054973,1.2,3.6,3.2,0.3064508137532815,0.29616100514415383,0.09075878102841572
C44--King's Pawn Game (1 e4 e5 2 Nf3 Nc6),5.0,0.2,0.3333333333333333,0.0,2.095934318181818,2.2,2.0,2.4,0.5090139265342074,0.09542283756940251,0.048571553232237455
A03--Bird's Opening (1 f4 d5),3.0,0.5,,0.5,4.026856320875928,0.6666666666666666,5.0,4.333333333333333,0.10681404429250996,0.12416633725119829,0.013262708646788223
"B21--Sicilian, 2.f4 and 2.d4 (1 e4 c5 2 f4)",3.0,0.3333333333333333,0.3333333333333333,,3.801129785247432,2.333333333333333,3.333333333333333,3.333333333333333,0.11987682465647444,0.0876932260053402,0.010512385477402752
A45--Queen's Pawn Game (1 d4 Nf6),4.0,0.0,,0.0,1.4315891414141413,1.5,3.5,2.5,0.9758727800818702,0.0,0.0
