opening,games,elo,last_played,score,white_win_percent,black_win_percent,avg_cp_loss/game,inaccuracies/game,mistakes/game,blunders/game,familiarity,sharpness,best
C50--Giuoco Piano (1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5),12.0,1202.0,2022.01.13,0.4166666666666667,0.3333333333333333,0.4444444444444444,1.0367258001907125,1.9166666666666667,3.583333333333333,1.75,3.3413865213931304,0.40190633491518984,0.3990301970951291
D30--Queen's Gambit Declined (1 d4 d5 2 c4 e6),12.0,1299.0,2022.01.19,0.5,,0.5,1.2446047468028278,1.8333333333333333,2.5,2.4166666666666665,2.7832945551882444,0.4017339651679882,0.3976135078840349
B07--Pirc (1 e4 d6 2 d4 Nf6),5.0,1251.0,2022.01.30,0.4,0.4,,1.0439421470342525,1.8,2.8,1.4,2.1419462600032593,0.38316299532149817,0.37717570518413
D35--Queen's Gambit Declined (1 d4 d5 2 c4 e6 3 Nc3 Nf6),5.0,1280.0,2022.01.16,0.4,,0.4,1.0862783223539745,2.0,3.0,1.4,2.05846690621075,0.3682297545376737,0.3624758106429115
C10--French (1 e4 e6 2 d4 d5 3 Nc3),10.0,1344.0,2022.01.29,0.45,1.0,0.2857142857142857,1.2412220987049687,2.1,4.1,2.5,2.5477129866345014,0.3625459137969815,0.3589299619422924
B12--Caro-Kann Defense (1 e4 c6 2 d4),8.0,1298.0,2021.06.07,0.5,0.5,,1.4128299117538834,2.5,3.125,2.625,2.00195869383526,0.3538996420165689,0.34849627674297257
B06--Robatsch (1 e4 g6),6.0,1327.0,2022.01.28,0.5,0.5,,1.4101967364532018,2.5,5.0,1.8333333333333333,1.7369844075401217,0.35456045747032033,0.34739688150802434
B01--Scandinavian (1 e4 d5),62.0,1134.0,2022.01.30,0.4516129032258064,0.5,0.42105263157894735,1.4280193669034198,2.0161290322580645,3.467741935483871,2.274193548387097,5.513936334831478,0.3162512453910928,0.31573235769962243
C47--Four Knights (1 e4 e5 2 Nf3 Nc6 3 Nc3 Nf6),10.0,1259.0,2022.01.12,0.4,0.42857142857142855,0.0,1.3690334426667243,2.1,2.7,2.1,2.30986151368853,0.29217693851279825,0.28986720316581643
C20--King's Pawn Game (1 e4 e5),10.0,1168.0,2022.01.19,0.4,0.0,0.4444444444444444,1.380999098277609,1.6,4.0,2.8,2.2898477371291497,0.28964537377242505,0.28735565110883227
A45--Queen's Pawn Game (1 d4 Nf6),4.0,922.0,2021.10.17,0.5,,0.5,1.7778827231591936,1.0,3.5,2.75,1.1249335931709359,0.28123339829273397,0.27283647214408085
A22--English (1 c4 e5 2 Nc3 Nf6),4.0,1190.0,2022.01.14,0.25,,0.25,0.956,2.5,2.5,1.25,2.092050209205021,0.2615062761506276,0.2594868924460428
B10--Caro-Kann (1 e4 c6),5.0,1122.0,2022.01.28,0.2,0.0,1.0,0.8695291971661228,1.6,1.2,1.8,2.5715846975436194,0.23000952774423075,0.2290949733161646
C40--King's Knight Opening (1 e4 e5 2 Nf3),14.0,1116.0,2022.01.29,0.21428571428571427,0.21428571428571427,,1.0435056054409628,2.357142857142857,4.142857142857143,1.0714285714285714,3.5856610326427507,0.20535176157023305,0.2050158228095908
B02--Alekhine's Defense (1 e4 Nf6),4.0,1028.0,2022.01.11,0.125,0.0,,0.6909294871794872,1.75,1.25,1.25,2.8946513893398893,0.18091571183374308,0.1805633926837345
